model,weight,vesa_size,screw_size
KQ50QNC90AFXKR,13.5kg,200*200,M8 11~13
KQ50QNC90-W1,13.5kg,200*200,M8 11~13
KQ43QNC90AFXKR,9.4kg,200*200,M8 11~13
KQ43QNC90-W1,9.4kg,200*200,M8 11~13
KQ50QNC90-R-S2,13.5kg,200*200,M8 11~13
KQ43QNC90-R-S2,9.4kg,200*200,M8 11~13
KQ50QNC90-R-W2,13.5kg,200*200,M8 11~13
KQ43QNC90-R-W2,9.4kg,200*200,M8 11~13
KQ43QNA90AFXKR,9.2kg,200*200,M8 11~13
KQ50QNB90AFXKR,9.2kg,200*200,M8 11~13
KQ50QNB90-W1,9.2kg,200*200,M8 11~13
KQ50QNB90-B5,9.2kg,200*200,M8 11~13
KQ50QNB90-W1B5,9.2kg,200*200,M8 11~13
KQ50QNB90-5,9.2kg,200*200,M8 11~13
KQ50QNB90-W15,9.2kg,200*200,M8 11~13
KQ50QNC90-Q,13.5kg,200*200,M8 11~13
KQ50QNC90-W1Q,13.5kg,200*200,M8 11~13
KQ43QNC90-W1Q,9.4kg,200*200,M8 11~13
KQ43QNC90-Q,9.4kg,200*200,M8 11~13
KQ43QB65AFXKR,8.4kg,200*200,M8 11~13
KQ43QB65-W1,8.4kg,200*200,M8 11~13
KQ50QB65AFXKR,11.5kg,200*200,M8 11~13
KQ50QB65-W1,11.5kg,200*200,M8 11~13
KQ50QC80AFXKR,13.6kg,200*200,M8 20~22
KQ50QC80-W1,13.6kg,200*200,M8 20~22
KQ50QC67AFXKR,11.2kg,200*200,M8 11~13
KQ43QC67AFXKR,8.1kg,200*200,M8 11~13
KQ50QC68AFXKR,11.2kg,200*200,M8 11~13
KQ43QC68AFXKR,8.1kg,200*200,M8 11~13
KQ43QB65-5,8.4kg,200*200,M8 11~13
KQ50QA80-W1,13.7kg,200*200,
KQ50QB60AFXKR,11.5kg,200*200,M8 11~13
KQ50QB60-W1,11.5kg,200*200,M8 11~13
KQ43QB60AFXKR,8.4kg,200*200,M8 11~13
KQ43QB60-W1,8.4kg,200*200,M8 11~13
KQ50QB80AFXKR,13.7kg,200*200,M8 26~28
KQ50QB80-W1,13.7kg,200*200,M8 26~28
KQ50QT67A-S,13.1kg,novesa,
KQ50QT67A-W,13.1kg,novesa,
KQ50QC60AFXKR,11.2kg,200*200,M8 11~13
KQ50QC60-W1,11.2kg,200*200,M8 11~13
KQ43QC60-W,8.1kg,200*200,M8 11~13
KQ43QC60AFXKR,8.1kg,200*200,M8 11~13
KQ50QC65AFXKR,11.2kg,200*200,M8 11~13
KQ50QC65-W1,11.2kg,200*200,M8 11~13
KQ43QC65-W1,8.1kg,200*200,M8 11~13
KQ43QC65AFXKR,8.1kg,200*200,M8 11~13
KU43UC7070FXKR,7.7kg,200*200,M8 20~22
KU43UC7070-W1,7.7kg,200*200,M8 20~22
KU50UC7070-W1,10.9kg,200*200,M8 20~22
KU50UC7070FXKR,10.9kg,200*200,M8 20~22
